soc,industry,sector,segment,category,categoryId,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training,,,,,,,,,,,,,,,,,,,,,,,
51-4022.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Forging machine setters, operators, and tenders, metal and plastic","Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.",19.2,15.5,-3.7,-19.2,0,1.4,36930,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4022.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Forging machine setters, operators, and tenders, metal and plastic',","'Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.',","'19.2',","'15.5',","'-3.7',","'-19.2',","'0',","'1.4',","'36930',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4023.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Rolling machine setters, operators, and tenders, metal and plastic","Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate or to flatten, temper, or reduce gauge of material.",29,25.3,-3.7,-12.9,0,2.3,40680,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4023.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Rolling machine setters, operators, and tenders, metal and plastic',","'Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate or to flatten, temper, or reduce gauge of material.',","'29',","'25.3',","'-3.7',","'-12.9',","'0',","'2.3',","'40680',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4031.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic","Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.",192.7,175.9,-16.8,-8.7,0,18.9,32370,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4031.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Cutting, punching, and press machine setters, operators, and tenders, metal and plastic',","'Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.',","'192.7',","'175.9',","'-16.8',","'-8.7',","'0',","'18.9',","'32370',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4032.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic","Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.",12.3,9.9,-2.4,-19.4,0.6,0.9,36410,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4032.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Drilling and boring machine tool setters, operators, and tenders, metal and plastic',","'Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.',","'12.3',","'9.9',","'-2.4',","'-19.4',","'0.6',","'0.9',","'36410',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4033.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic","Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.",76.2,68.5,-7.6,-10,2.6,6.8,32890,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4033.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic',","'Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.',","'76.2',","'68.5',","'-7.6',","'-10',","'2.6',","'6.8',","'32890',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4034.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic","Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.",33.7,30.8,-2.8,-8.4,0,2.9,38480,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4034.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Lathe and turning machine tool setters, operators, and tenders, metal and plastic',","'Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.',","'33.7',","'30.8',","'-2.8',","'-8.4',","'0',","'2.9',","'38480',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4035.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Milling and planing machine setters, operators, and tenders, metal and plastic","Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.",17.6,14.2,-3.4,-19.3,0.6,1.3,39840,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4035.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Milling and planing machine setters, operators, and tenders, metal and plastic',","'Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.',","'17.6',","'14.2',","'-3.4',","'-19.3',","'0.6',","'1.3',","'39840',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4041.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,Machinists,"Set up and operate a variety of machine tools to produce precision parts and instruments. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.",396.2,404.6,8.5,2.1,1.6,40.8,41700,High school diploma or equivalent,None,Long-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4041.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Machinists',","'Set up and operate a variety of machine tools to produce precision parts and instruments. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.',","'396.2',","'404.6',","'8.5',","'2.1',","'1.6',","'40.8',","'41700',","'High school diploma or equivalent',","'None',",'Long-term on-the-job training');
51-4051.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,Metal-refining furnace operators and tenders,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel.",17.7,16.3,-1.4,-8.1,0,1.5,41040,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4051.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Metal-refining furnace operators and tenders',","'Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel.',","'17.7',","'16.3',","'-1.4',","'-8.1',","'0',","'1.5',","'41040',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
51-4052.00,Engineering,Production occupations,Metal workers and plastic workers,Production,43,"Pourers and casters, metal",Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.,8.4,6.5,-2,-23.4,0,0.5,36180,High school diploma or equivalent,None,Moderate-term on-the-job training,,,,,"insert into public.""Jobs"" (soc,industry,sector,segment,category,categoryid,jobtitle,description,empl_2016,empl_2026,empl_change_num,empl_change_pct,self_empl_2016,avg_annual_openings,median_wage_2016,education,work_exp,otj_training) VALUES (","'51-4052.00',","'Engineering',","'Production occupations',","'Metal workers and plastic workers',","'Production',","'43',","'Pourers and casters, metal',","'Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.',","'8.4',","'6.5',","'-2',","'-23.4',","'0',","'0.5',","'36180',","'High school diploma or equivalent',","'None',",'Moderate-term on-the-job training');
